date,price
7/15/2024 11:05:00 AM,22.374136
7/15/2024 11:10:00 AM,22.375996
7/15/2024 11:15:00 AM,24.620670
7/15/2024 11:20:00 AM,23.954616
7/15/2024 11:25:00 AM,24.426933
7/15/2024 11:30:00 AM,24.703363
7/15/2024 11:35:00 AM,26.188950
7/15/2024 11:40:00 AM,27.377086
7/15/2024 11:45:00 AM,27.684683
7/15/2024 11:50:00 AM,26.535856
7/15/2024 11:55:00 AM,24.464326
7/15/2024 12:00:00 PM,9.635096
7/15/2024 12:05:00 PM,8.805970
7/15/2024 12:10:00 PM,17.026636
7/15/2024 12:15:00 PM,17.704740
7/15/2024 12:20:00 PM,18.230126
7/15/2024 12:25:00 PM,18.682886
7/15/2024 12:30:00 PM,19.105876
7/15/2024 12:35:00 PM,20.044636
7/15/2024 12:40:00 PM,25.640710
7/15/2024 12:45:00 PM,25.636940
7/15/2024 12:50:00 PM,23.583556
7/15/2024 12:55:00 PM,22.934836
7/15/2024 1:00:00 PM,26.428910
7/15/2024 1:05:00 PM,28.000316
7/15/2024 1:10:00 PM,28.310560
7/15/2024 1:15:00 PM,29.271426
7/15/2024 1:20:00 PM,32.026143
7/15/2024 1:25:00 PM,33.038556
7/15/2024 1:30:00 PM,31.191663
7/15/2024 1:35:00 PM,34.352440
7/15/2024 1:40:00 PM,35.708996
7/15/2024 1:45:00 PM,34.755933
7/15/2024 1:50:00 PM,35.543170
7/15/2024 1:55:00 PM,34.072590
7/15/2024 2:00:00 PM,33.621010
7/15/2024 2:05:00 PM,35.808376
7/15/2024 2:10:00 PM,41.019550
7/15/2024 2:15:00 PM,38.587893
7/15/2024 2:20:00 PM,33.130853
7/15/2024 2:25:00 PM,36.856320
7/15/2024 2:30:00 PM,36.261320
7/15/2024 2:35:00 PM,37.656726
7/15/2024 2:40:00 PM,40.039453
7/15/2024 2:45:00 PM,38.940043
7/15/2024 2:50:00 PM,39.114396
7/15/2024 2:55:00 PM,39.745933
7/15/2024 3:00:00 PM,36.746923
7/15/2024 3:05:00 PM,37.052380
7/15/2024 3:10:00 PM,37.152990
7/15/2024 3:15:00 PM,36.823473
7/15/2024 3:20:00 PM,39.690106
7/15/2024 3:25:00 PM,41.341080
7/15/2024 3:30:00 PM,40.964256
7/15/2024 3:35:00 PM,42.104300
7/15/2024 3:40:00 PM,43.238326
7/15/2024 3:45:00 PM,40.966133
7/15/2024 3:50:00 PM,39.960350
7/15/2024 3:55:00 PM,37.312556
7/15/2024 4:00:00 PM,29.324650
7/15/2024 4:05:00 PM,28.552273
7/15/2024 4:10:00 PM,29.006013
7/15/2024 4:15:00 PM,31.221590
7/15/2024 4:20:00 PM,32.460536
7/15/2024 4:25:00 PM,33.524176
7/15/2024 4:30:00 PM,34.630816
7/15/2024 4:35:00 PM,37.730230
7/15/2024 4:40:00 PM,38.619706
7/15/2024 4:45:00 PM,42.459790
7/15/2024 4:50:00 PM,48.836436
7/15/2024 4:55:00 PM,44.945786
7/15/2024 5:00:00 PM,35.078686
7/15/2024 5:05:00 PM,35.391270
7/15/2024 5:10:00 PM,37.510506
7/15/2024 5:15:00 PM,43.591190
7/15/2024 5:20:00 PM,48.288006
7/15/2024 5:25:00 PM,49.462196
7/15/2024 5:30:00 PM,47.770596
7/15/2024 5:35:00 PM,46.994576
7/15/2024 5:40:00 PM,44.904893
7/15/2024 5:45:00 PM,43.959010
7/15/2024 5:50:00 PM,44.077763
7/15/2024 5:55:00 PM,42.933600
7/15/2024 6:00:00 PM,33.408946
7/15/2024 6:05:00 PM,32.113356
7/15/2024 6:10:00 PM,31.176976
7/15/2024 6:15:00 PM,32.999980
7/15/2024 6:20:00 PM,34.104083
7/15/2024 6:25:00 PM,34.683850
7/15/2024 6:30:00 PM,35.592366
7/15/2024 6:35:00 PM,37.261986
7/15/2024 6:40:00 PM,37.568726
7/15/2024 6:45:00 PM,42.970570
7/15/2024 6:50:00 PM,41.436210
7/15/2024 6:55:00 PM,41.269813
7/15/2024 7:00:00 PM,35.519556
7/15/2024 7:05:00 PM,37.765810
7/15/2024 7:10:00 PM,37.765810
7/15/2024 7:15:00 PM,39.345056
7/15/2024 7:20:00 PM,39.355480
7/15/2024 7:25:00 PM,39.534793
7/15/2024 7:30:00 PM,40.311050
7/15/2024 7:35:00 PM,41.841680
7/15/2024 7:40:00 PM,41.881110
7/15/2024 7:45:00 PM,42.213593
7/15/2024 7:50:00 PM,42.213593
7/15/2024 7:55:00 PM,41.826586
7/15/2024 8:00:00 PM,41.457880
7/15/2024 8:05:00 PM,40.689033
7/15/2024 8:10:00 PM,40.486600
7/15/2024 8:15:00 PM,40.385873
7/15/2024 8:20:00 PM,39.810450
