time,dual_cool | total_refrigeration_power__kw
2024-07-15 00:00:00-07:00,74.86747818125544
2024-07-15 00:10:00-07:00,24.429754068243664
2024-07-15 00:20:00-07:00,23.303125
2024-07-15 00:30:00-07:00,23.303125
2024-07-15 00:40:00-07:00,23.303125
2024-07-15 00:50:00-07:00,23.303125
2024-07-15 01:00:00-07:00,23.303125
2024-07-15 01:10:00-07:00,23.303125
2024-07-15 01:20:00-07:00,23.303125
2024-07-15 01:30:00-07:00,23.303125
2024-07-15 01:40:00-07:00,23.303125
2024-07-15 01:50:00-07:00,23.303125
2024-07-15 02:00:00-07:00,23.303125
2024-07-15 02:10:00-07:00,23.303125
2024-07-15 02:20:00-07:00,23.303125
2024-07-15 02:30:00-07:00,23.303125
2024-07-15 02:40:00-07:00,23.303125
2024-07-15 02:50:00-07:00,23.303125
2024-07-15 03:00:00-07:00,23.303125
2024-07-15 03:10:00-07:00,23.303125
2024-07-15 03:20:00-07:00,23.303125
2024-07-15 03:30:00-07:00,23.303125
2024-07-15 03:40:00-07:00,23.303125
2024-07-15 03:50:00-07:00,23.303125
2024-07-15 04:00:00-07:00,23.303125000000005
2024-07-15 04:10:00-07:00,23.303125
2024-07-15 04:20:00-07:00,23.303125
2024-07-15 04:30:00-07:00,23.303125
2024-07-15 04:40:00-07:00,23.303125
2024-07-15 04:50:00-07:00,23.303125
2024-07-15 05:00:00-07:00,23.303125
2024-07-15 05:10:00-07:00,23.303125
2024-07-15 05:20:00-07:00,23.303125
2024-07-15 05:30:00-07:00,23.303125
2024-07-15 05:40:00-07:00,23.303125
2024-07-15 05:50:00-07:00,29.559421610169494
2024-07-15 06:00:00-07:00,40.081375
2024-07-15 06:10:00-07:00,76.0218406211395
2024-07-15 06:20:00-07:00,77.27471098393329
2024-07-15 06:30:00-07:00,106.8025261700757
2024-07-15 06:40:00-07:00,128.0011324923958
2024-07-15 06:50:00-07:00,134.62270535845332
2024-07-15 07:00:00-07:00,132.35392835227788
2024-07-15 07:10:00-07:00,129.70849240728796
2024-07-15 07:20:00-07:00,130.13788676350558
2024-07-15 07:30:00-07:00,131.5724076574619
2024-07-15 07:40:00-07:00,132.2134598019101
2024-07-15 07:50:00-07:00,124.92095094336418
2024-07-15 08:00:00-07:00,64.43062576314402
2024-07-15 08:10:00-07:00,64.47905838336968
2024-07-15 08:20:00-07:00,82.37528597981864
2024-07-15 08:30:00-07:00,83.60710674466448
2024-07-15 08:40:00-07:00,84.14809389193721
2024-07-15 08:50:00-07:00,76.44022607526422
2024-07-15 09:00:00-07:00,36.11093641531164
2024-07-15 09:10:00-07:00,23.303125
2024-07-15 09:20:00-07:00,23.303125
2024-07-15 09:30:00-07:00,23.303125
2024-07-15 09:40:00-07:00,23.303125
2024-07-15 09:50:00-07:00,23.303125
2024-07-15 10:00:00-07:00,23.303125
2024-07-15 10:10:00-07:00,23.303125
2024-07-15 10:20:00-07:00,23.303125
2024-07-15 10:30:00-07:00,23.303125
2024-07-15 10:40:00-07:00,23.303125
2024-07-15 10:50:00-07:00,23.303125
2024-07-15 11:00:00-07:00,23.303125
2024-07-15 11:10:00-07:00,23.303125
2024-07-15 11:20:00-07:00,23.303125
2024-07-15 11:30:00-07:00,23.303125
2024-07-15 11:40:00-07:00,23.303125
2024-07-15 11:50:00-07:00,23.303125
2024-07-15 12:00:00-07:00,23.303125
2024-07-15 12:10:00-07:00,23.303125
2024-07-15 12:20:00-07:00,23.303125
2024-07-15 12:30:00-07:00,23.303125
2024-07-15 12:40:00-07:00,23.303125
2024-07-15 12:50:00-07:00,23.303125
2024-07-15 13:00:00-07:00,23.303125
2024-07-15 13:10:00-07:00,23.303125
2024-07-15 13:20:00-07:00,23.303125
2024-07-15 13:30:00-07:00,23.303125
2024-07-15 13:40:00-07:00,23.303125
2024-07-15 13:50:00-07:00,33.34300924667512
2024-07-15 14:00:00-07:00,45.35139310619972
2024-07-15 14:10:00-07:00,28.439689912954613
2024-07-15 14:20:00-07:00,23.303125
2024-07-15 14:30:00-07:00,23.303125
2024-07-15 14:40:00-07:00,23.303125
2024-07-15 14:50:00-07:00,23.303125
2024-07-15 15:00:00-07:00,23.303125
2024-07-15 15:10:00-07:00,23.303125
2024-07-15 15:20:00-07:00,23.303125
2024-07-15 15:30:00-07:00,23.303125
2024-07-15 15:40:00-07:00,23.303125
2024-07-15 15:50:00-07:00,23.303125
2024-07-15 16:00:00-07:00,23.303125
2024-07-15 16:10:00-07:00,23.303125
2024-07-15 16:20:00-07:00,23.303125
2024-07-15 16:30:00-07:00,23.303125
2024-07-15 16:40:00-07:00,23.303125
2024-07-15 16:50:00-07:00,23.303125
2024-07-15 17:00:00-07:00,23.303125
2024-07-15 17:10:00-07:00,23.303125
2024-07-15 17:20:00-07:00,23.303125
2024-07-15 17:30:00-07:00,23.303125
2024-07-15 17:40:00-07:00,23.303125
2024-07-15 17:50:00-07:00,23.303125
2024-07-15 18:00:00-07:00,28.359688782214917
2024-07-15 18:10:00-07:00,44.38732742865412
2024-07-15 18:20:00-07:00,33.480474035857995
2024-07-15 18:30:00-07:00,23.303125
2024-07-15 18:40:00-07:00,23.303125
2024-07-15 18:50:00-07:00,41.33348320895523
2024-07-15 19:00:00-07:00,62.256088316581206
2024-07-15 19:10:00-07:00,108.94076130886306
2024-07-15 19:20:00-07:00,184.03857789698625
2024-07-15 19:30:00-07:00,181.88790076028272
2024-07-15 19:40:00-07:00,177.20099904853782
2024-07-15 19:50:00-07:00,191.5759626239248
2024-07-15 20:00:00-07:00,270.6071827987026
2024-07-15 20:10:00-07:00,361.1166746385915
2024-07-15 20:20:00-07:00,355.8678797861652
2024-07-15 20:30:00-07:00,346.34172488190086
2024-07-15 20:40:00-07:00,267.02724964975096
2024-07-15 20:50:00-07:00,278.8168427021828
2024-07-15 21:00:00-07:00,350.7249603256259
2024-07-15 21:10:00-07:00,349.1654382904122
2024-07-15 21:20:00-07:00,343.622055615395
2024-07-15 21:30:00-07:00,232.65471904095065
2024-07-15 21:40:00-07:00,335.01753833261483
2024-07-15 21:50:00-07:00,346.9634291339068
2024-07-15 22:00:00-07:00,345.6274794793048
2024-07-15 22:10:00-07:00,232.74280733682937
2024-07-15 22:20:00-07:00,333.4320758901515
2024-07-15 22:30:00-07:00,345.2701438300759
2024-07-15 22:40:00-07:00,342.9822197189554
2024-07-15 22:50:00-07:00,229.29517374295597
2024-07-15 23:00:00-07:00,325.58688606629516
2024-07-15 23:10:00-07:00,340.87675707204335
2024-07-15 23:20:00-07:00,338.8882315504534
2024-07-15 23:30:00-07:00,231.58693787667804
2024-07-15 23:40:00-07:00,323.00287897572105
2024-07-15 23:50:00-07:00,233.79196364413022
